,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount,
0,1,980.1,...,13.5,...,100,0.0,0,...,...,6.0,...,...,...,...,...,...,2019-01-01 00:00:00
1,2,979.7,...,13.4,...,100,0.0,0,...,...,3.5,...,...,...,...,...,...,2019-01-01 01:00:00
2,3,979.2,...,13.5,...,100,0.1,0,...,...,3.5,...,...,...,...,...,...,2019-01-01 02:00:00
3,4,979.1,...,13.4,...,100,0.1,0,...,...,3.0,...,...,...,...,...,...,2019-01-01 03:00:00
4,5,979.2,...,13.4,...,100,0.0,0,...,...,3.0,...,...,...,...,...,...,2019-01-01 04:00:00
5,6,979.7,...,13.6,...,100,0.0,0,...,...,2.5,...,...,...,...,...,...,2019-01-01 05:00:00
6,7,980.6,...,13.4,...,100,0.0,0,...,...,3.5,...,...,...,...,...,...,2019-01-01 06:00:00
7,8,981.2,...,13.5,...,100,0.1,0,...,...,2.0,...,...,...,...,...,...,2019-01-01 07:00:00
8,9,981.6,...,13.5,...,100,0.1,0,...,...,3.5,...,...,...,...,...,...,2019-01-01 08:00:00
9,10,981.5,...,13.5,...,100,0.0,0,...,...,2.5,...,...,...,...,...,...,2019-01-01 09:00:00
10,11,980.9,...,13.4,...,100,0.0,0,...,...,2.5,...,...,...,...,...,...,2019-01-01 10:00:00
11,12,979.6,...,13.4,...,100,0.0,0,...,...,1.5,...,...,...,...,...,...,2019-01-01 11:00:00
12,13,978.9,...,13.4,...,100,0.0,0,...,...,2.5,...,...,...,...,...,...,2019-01-01 12:00:00
13,14,978.3,...,13.5,...,100,0.0,0,...,...,2.0,...,...,...,...,...,...,2019-01-01 13:00:00
14,15,978.5,...,13.6,...,100,0.2,0,...,...,3.0,...,...,...,...,...,...,2019-01-01 14:00:00
15,16,979.1,...,13.4,...,100,0.0,0,...,...,2.5,...,...,...,...,...,...,2019-01-01 15:00:00
16,17,979.9,...,13.1,...,100,0.1,0,...,...,4.0,...,...,...,...,...,...,2019-01-01 16:00:00
17,18,980.1,...,13.0,...,100,0.0,0,...,...,2.0,...,...,...,...,...,...,2019-01-01 17:00:00
18,19,979.9,...,13.3,...,100,0.1,0,...,...,5.0,...,...,...,...,...,...,2019-01-01 18:00:00
19,20,979.8,...,13.4,...,100,0.0,0,...,...,1.0,...,...,...,...,...,...,2019-01-01 19:00:00
