,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount,
0,1,988.5,...,15.1,...,93,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-01 00:00:00
1,2,988.1,...,14.4,...,95,0.7,29,...,...,0.0,...,...,...,...,...,...,2019-01-01 01:00:00
2,3,987.4,...,14.0,...,95,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-01 02:00:00
3,4,987.2,...,13.7,...,95,0.4,39,...,...,0.0,...,...,...,...,...,...,2019-01-01 03:00:00
4,5,987.6,...,13.4,...,96,0.5,42,...,...,0.0,...,...,...,...,...,...,2019-01-01 04:00:00
5,6,988.1,...,13.5,...,95,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-01 05:00:00
6,7,988.9,...,12.7,...,96,0.6,360,...,...,0.0,...,...,...,...,...,...,2019-01-01 06:00:00
7,8,989.5,...,13.5,...,93,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-01 07:00:00
8,9,989.6,...,17.0,...,79,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-01 08:00:00
9,10,989.0,...,19.0,...,72,1.7,205,...,...,0.0,...,...,...,...,...,...,2019-01-01 09:00:00
10,11,988.2,...,20.8,...,68,2.4,197,...,...,0.0,...,...,...,...,...,...,2019-01-01 10:00:00
11,12,987.0,...,21.5,...,65,3.0,203,...,...,0.0,...,...,...,...,...,...,2019-01-01 11:00:00
12,13,985.9,...,22.8,...,60,2.0,201,...,...,0.0,...,...,...,...,...,...,2019-01-01 12:00:00
13,14,985.4,...,22.8,...,59,2.3,206,...,...,0.0,...,...,...,...,...,...,2019-01-01 13:00:00
14,15,985.1,...,23.0,...,59,2.4,206,...,...,0.0,...,...,...,...,...,...,2019-01-01 14:00:00
15,16,985.7,...,22.5,...,62,2.9,217,...,...,0.0,...,...,...,...,...,...,2019-01-01 15:00:00
16,17,986.2,...,21.0,...,68,1.9,203,...,...,0.0,...,...,...,...,...,...,2019-01-01 16:00:00
17,18,986.5,...,19.8,...,72,1.4,182,...,...,0.0,...,...,...,...,...,...,2019-01-01 17:00:00
18,19,986.9,...,18.7,...,76,1.9,189,...,...,0.0,...,...,...,...,...,...,2019-01-01 18:00:00
19,20,987.1,...,18.3,...,79,0.5,187,...,...,0.0,...,...,...,...,...,...,2019-01-01 19:00:00
20,21,987.4,...,17.7,...,81,1.2,194,...,...,0.0,...,...,...,...,...,...,2019-01-01 20:00:00
21,22,987.4,...,17.5,...,81,0.5,158,...,...,0.0,...,...,...,...,...,...,2019-01-01 21:00:00
22,23,987.6,...,17.1,...,82,1.0,202,...,...,0.0,...,...,...,...,...,...,2019-01-01 22:00:00
23,24,987.7,...,17.0,...,84,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-01 23:00:00
0,1,987.8,...,16.8,...,88,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-02 00:00:00
1,2,987.5,...,16.8,...,89,0.3,107,...,...,0.0,...,...,...,...,...,...,2019-01-02 01:00:00
2,3,987.3,...,16.7,...,90,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-02 02:00:00
3,4,986.8,...,16.6,...,93,0.7,36,...,...,0.0,...,...,...,...,...,...,2019-01-02 03:00:00
4,5,987.0,...,16.6,...,92,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-02 04:00:00
5,6,987.7,...,16.6,...,94,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-02 05:00:00
6,7,988.6,...,16.4,...,96,0.8,335,...,...,0.0,...,...,...,...,...,...,2019-01-02 06:00:00
7,8,988.9,...,16.9,...,96,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-02 07:00:00
8,9,989.1,...,18.7,...,89,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-02 08:00:00
9,10,988.7,...,20.3,...,84,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-02 09:00:00
10,11,987.8,...,20.2,...,85,1.3,211,...,...,0.0,...,...,...,...,...,...,2019-01-02 10:00:00
11,12,986.7,...,20.3,...,84,2.3,198,...,...,0.0,...,...,...,...,...,...,2019-01-02 11:00:00
12,13,985.8,...,20.4,...,81,3.2,205,...,...,0.0,...,...,...,...,...,...,2019-01-02 12:00:00
13,14,985.3,...,20.7,...,81,2.9,200,...,...,0.0,...,...,...,...,...,...,2019-01-02 13:00:00
14,15,985.4,...,20.3,...,81,2.3,198,...,...,0.0,...,...,...,...,...,...,2019-01-02 14:00:00
15,16,985.8,...,20.2,...,81,2.1,208,...,...,0.0,...,...,...,...,...,...,2019-01-02 15:00:00
16,17,986.5,...,19.9,...,81,1.4,206,...,...,0.0,...,...,...,...,...,...,2019-01-02 16:00:00
17,18,987.1,...,19.6,...,82,0.9,182,...,...,0.0,...,...,...,...,...,...,2019-01-02 17:00:00
18,19,987.5,...,19.1,...,84,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-02 18:00:00
19,20,988.2,...,18.5,...,86,1.8,204,...,...,0.0,...,...,...,...,...,...,2019-01-02 19:00:00
20,21,987.9,...,18.2,...,87,0.8,177,...,...,0.0,...,...,...,...,...,...,2019-01-02 20:00:00
21,22,988.0,...,17.9,...,90,1.4,177,...,...,0.0,...,...,...,...,...,...,2019-01-02 21:00:00
22,23,987.8,...,17.7,...,92,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-02 22:00:00
23,24,988.3,...,17.2,...,96,0.4,188,...,...,0.5,...,...,...,...,...,...,2019-01-02 23:00:00
0,1,988.6,...,17.0,...,96,1.5,189,...,...,0.5,...,...,...,...,...,...,2019-01-03 00:00:00
1,2,987.8,...,17.2,...,97,0.2,0,...,...,0.0,...,...,...,...,...,...,2019-01-03 01:00:00
2,3,987.6,...,17.1,...,98,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-03 02:00:00
3,4,987.6,...,17.1,...,98,0.3,247,...,...,0.5,...,...,...,...,...,...,2019-01-03 03:00:00
4,5,987.5,...,17.0,...,98,0.4,336,...,...,0.0,...,...,...,...,...,...,2019-01-03 04:00:00
5,6,987.6,...,17.1,...,99,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-03 05:00:00
6,7,987.9,...,17.0,...,99,0.3,126,...,...,0.0,...,...,...,...,...,...,2019-01-03 06:00:00
7,8,988.6,...,17.9,...,98,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-03 07:00:00
8,9,989.5,...,20.2,...,89,0.4,183,...,...,0.0,...,...,...,...,...,...,2019-01-03 08:00:00
9,10,989.4,...,19.9,...,91,0.3,10,...,...,0.0,...,...,...,...,...,...,2019-01-03 09:00:00
10,11,988.9,...,21.0,...,88,1.3,211,...,...,0.0,...,...,...,...,...,...,2019-01-03 10:00:00
11,12,988.1,...,20.8,...,85,2.8,198,...,...,0.0,...,...,...,...,...,...,2019-01-03 11:00:00
12,13,987.0,...,21.9,...,82,2.3,204,...,...,0.0,...,...,...,...,...,...,2019-01-03 12:00:00
13,14,986.4,...,23.0,...,76,2.1,211,...,...,0.0,...,...,...,...,...,...,2019-01-03 13:00:00
14,15,986.3,...,22.3,...,83,1.5,195,...,...,0.0,...,...,...,...,...,...,2019-01-03 14:00:00
15,16,986.2,...,23.8,...,73,0.5,305,...,...,0.0,...,...,...,...,...,...,2019-01-03 15:00:00
16,17,986.5,...,22.1,...,83,1.2,190,...,...,0.0,...,...,...,...,...,...,2019-01-03 16:00:00
17,18,986.9,...,21.0,...,89,1.1,206,...,...,0.0,...,...,...,...,...,...,2019-01-03 17:00:00
18,19,987.5,...,20.1,...,91,0.2,0,...,...,0.0,...,...,...,...,...,...,2019-01-03 18:00:00
19,20,987.7,...,19.9,...,92,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-03 19:00:00
20,21,987.6,...,19.0,...,94,0.4,75,...,...,0.0,...,...,...,...,...,...,2019-01-03 20:00:00
21,22,987.4,...,18.7,...,94,0.3,183,...,...,0.0,...,...,...,...,...,...,2019-01-03 21:00:00
22,23,987.2,...,18.0,...,95,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-03 22:00:00
23,24,987.5,...,17.9,...,98,0.6,159,...,...,0.0,...,...,...,...,...,...,2019-01-03 23:00:00
0,1,987.7,...,17.4,...,98,1.0,10,...,...,0.0,...,...,...,...,...,...,2019-01-04 00:00:00
1,2,987.6,...,16.9,...,99,0.7,31,...,...,0.0,...,...,...,...,...,...,2019-01-04 01:00:00
2,3,987.3,...,16.5,...,99,0.9,13,...,...,0.0,...,...,...,...,...,...,2019-01-04 02:00:00
3,4,987.0,...,16.3,...,99,0.4,41,...,...,0.0,...,...,...,...,...,...,2019-01-04 03:00:00
4,5,986.8,...,15.9,...,99,0.9,360,...,...,0.0,...,...,...,...,...,...,2019-01-04 04:00:00
5,6,987.2,...,15.6,...,99,0.6,27,...,...,0.0,...,...,...,...,...,...,2019-01-04 05:00:00
6,7,987.7,...,15.7,...,99,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-04 06:00:00
7,8,988.4,...,16.5,...,97,0.4,342,...,...,0.0,...,...,...,...,...,...,2019-01-04 07:00:00
8,9,988.9,...,19.4,...,85,0.2,0,...,...,0.0,...,...,...,...,...,...,2019-01-04 08:00:00
9,10,988.6,...,23.0,...,71,1.7,204,...,...,0.0,...,...,...,...,...,...,2019-01-04 09:00:00
10,11,987.6,...,24.1,...,68,2.5,221,...,...,0.0,...,...,...,...,...,...,2019-01-04 10:00:00
11,12,986.6,...,25.3,...,64,2.7,226,...,...,0.0,...,...,...,...,...,...,2019-01-04 11:00:00
12,13,985.7,...,25.7,...,60,3.0,219,...,...,0.0,...,...,...,...,...,...,2019-01-04 12:00:00
13,14,985.1,...,26.3,...,60,2.5,218,...,...,0.0,...,...,...,...,...,...,2019-01-04 13:00:00
14,15,984.7,...,26.6,...,59,1.9,216,...,...,0.0,...,...,...,...,...,...,2019-01-04 14:00:00
15,16,985.0,...,24.9,...,68,1.9,214,...,...,0.0,...,...,...,...,...,...,2019-01-04 15:00:00
16,17,985.8,...,22.7,...,79,2.0,226,...,...,0.0,...,...,...,...,...,...,2019-01-04 16:00:00
17,18,986.6,...,20.7,...,87,2.9,209,...,...,0.0,...,...,...,...,...,...,2019-01-04 17:00:00
18,19,987.2,...,20.0,...,89,1.8,204,...,...,0.0,...,...,...,...,...,...,2019-01-04 18:00:00
19,20,987.5,...,19.6,...,91,1.4,191,...,...,0.0,...,...,...,...,...,...,2019-01-04 19:00:00
20,21,987.5,...,19.6,...,91,0.6,182,...,...,0.0,...,...,...,...,...,...,2019-01-04 20:00:00
21,22,987.2,...,19.6,...,92,0.2,0,...,...,0.0,...,...,...,...,...,...,2019-01-04 21:00:00
22,23,986.9,...,19.1,...,94,0.2,0,...,...,0.0,...,...,...,...,...,...,2019-01-04 22:00:00
23,24,986.7,...,19.2,...,93,0.2,0,...,...,0.0,...,...,...,...,...,...,2019-01-04 23:00:00
0,1,986.7,...,19.2,...,94,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-05 00:00:00
1,2,986.1,...,19.2,...,94,0.5,62,...,...,0.0,...,...,...,...,...,...,2019-01-05 01:00:00
2,3,985.4,...,19.0,...,95,0.5,40,...,...,0.0,...,...,...,...,...,...,2019-01-05 02:00:00
3,4,985.0,...,19.2,...,95,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-05 03:00:00
4,5,984.8,...,18.6,...,96,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-05 04:00:00
5,6,985.2,...,18.1,...,97,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-05 05:00:00
6,7,985.6,...,18.1,...,97,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-05 06:00:00
7,8,986.0,...,18.6,...,95,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-05 07:00:00
8,9,986.2,...,21.2,...,85,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-05 08:00:00
9,10,986.1,...,23.7,...,74,0.3,201,...,...,0.0,...,...,...,...,...,...,2019-01-05 09:00:00
10,11,985.7,...,26.4,...,59,2.3,214,...,...,0.0,...,...,...,...,...,...,2019-01-05 10:00:00
11,12,984.7,...,27.8,...,53,1.8,218,...,...,0.0,...,...,...,...,...,...,2019-01-05 11:00:00
12,13,984.0,...,27.6,...,53,2.2,229,...,...,0.0,...,...,...,...,...,...,2019-01-05 12:00:00
13,14,983.8,...,27.5,...,54,1.7,202,...,...,0.0,...,...,...,...,...,...,2019-01-05 13:00:00
14,15,983.5,...,27.0,...,56,2.1,203,...,...,0.0,...,...,...,...,...,...,2019-01-05 14:00:00
15,16,983.8,...,26.3,...,59,1.6,226,...,...,0.0,...,...,...,...,...,...,2019-01-05 15:00:00
16,17,984.1,...,25.6,...,62,1.0,197,...,...,0.0,...,...,...,...,...,...,2019-01-05 16:00:00
17,18,984.3,...,24.6,...,67,0.6,172,...,...,0.0,...,...,...,...,...,...,2019-01-05 17:00:00
18,19,984.7,...,23.5,...,71,0.5,193,...,...,0.0,...,...,...,...,...,...,2019-01-05 18:00:00
19,20,985.1,...,22.6,...,76,0.3,125,...,...,0.0,...,...,...,...,...,...,2019-01-05 19:00:00
20,21,985.7,...,21.9,...,81,1.3,182,...,...,0.0,...,...,...,...,...,...,2019-01-05 20:00:00
21,22,986.0,...,21.3,...,85,0.3,196,...,...,0.0,...,...,...,...,...,...,2019-01-05 21:00:00
22,23,985.8,...,21.0,...,87,0.8,175,...,...,0.0,...,...,...,...,...,...,2019-01-05 22:00:00
23,24,985.9,...,20.3,...,91,0.3,73,...,...,0.0,...,...,...,...,...,...,2019-01-05 23:00:00
0,1,985.8,...,19.7,...,92,0.3,324,...,...,0.0,...,...,...,...,...,...,2019-01-06 00:00:00
1,2,985.2,...,19.6,...,93,0.6,340,...,...,0.0,...,...,...,...,...,...,2019-01-06 01:00:00
2,3,984.6,...,19.4,...,94,0.3,49,...,...,0.0,...,...,...,...,...,...,2019-01-06 02:00:00
3,4,984.3,...,19.4,...,96,1.4,192,...,...,0.0,...,...,...,...,...,...,2019-01-06 03:00:00
4,5,984.5,...,19.4,...,96,1.1,199,...,...,0.0,...,...,...,...,...,...,2019-01-06 04:00:00
5,6,984.9,...,18.9,...,97,1.1,192,...,...,0.0,...,...,...,...,...,...,2019-01-06 05:00:00
6,7,985.4,...,19.1,...,96,0.0,0,...,...,0.0,...,...,...,...,...,...,2019-01-06 06:00:00
7,8,986.1,...,19.8,...,93,0.5,225,...,...,0.0,...,...,...,...,...,...,2019-01-06 07:00:00
