,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount,
0,1,993.6,...,14.0,...,99,1.0,283,...,...,1.0,...,...,...,...,...,...,2019-01-01 00:00:00
1,2,993.3,...,14.0,...,99,0.2,0,...,...,1.5,...,...,...,...,...,...,2019-01-01 01:00:00
2,3,992.8,...,14.0,...,99,0.6,353,...,...,0.5,...,...,...,...,...,...,2019-01-01 02:00:00
3,4,992.6,...,14.0,...,99,2.5,59,...,...,1.0,...,...,...,...,...,...,2019-01-01 03:00:00
4,5,992.7,...,13.9,...,99,1.8,58,...,...,0.5,...,...,...,...,...,...,2019-01-01 04:00:00
5,6,993.2,...,14.0,...,99,0.3,292,...,...,1.0,...,...,...,...,...,...,2019-01-01 05:00:00
6,7,993.9,...,14.1,...,99,2.4,63,...,...,0.5,...,...,...,...,...,...,2019-01-01 06:00:00
7,8,994.6,...,14.2,...,99,2.4,59,...,...,0.5,...,...,...,...,...,...,2019-01-01 07:00:00
8,9,995.0,...,14.5,...,99,2.6,77,...,...,0.5,...,...,...,...,...,...,2019-01-01 08:00:00
9,10,994.7,...,14.7,...,99,2.9,67,...,...,0.0,...,...,...,...,...,...,2019-01-01 09:00:00
10,11,994.3,...,14.7,...,99,2.7,77,...,...,0.0,...,...,...,...,...,...,2019-01-01 10:00:00
11,12,993.1,...,14.5,...,99,3.1,59,...,...,0.0,...,...,...,...,...,...,2019-01-01 11:00:00
12,13,992.2,...,14.7,...,99,1.2,56,...,...,0.5,...,...,...,...,...,...,2019-01-01 12:00:00
13,14,991.7,...,14.4,...,99,3.1,64,...,...,0.0,...,...,...,...,...,...,2019-01-01 13:00:00
14,15,991.9,...,14.4,...,99,2.3,65,...,...,0.5,...,...,...,...,...,...,2019-01-01 14:00:00
15,16,992.5,...,14.3,...,99,2.9,61,...,...,0.5,...,...,...,...,...,...,2019-01-01 15:00:00
16,17,993.1,...,14.0,...,99,2.5,67,...,...,1.0,...,...,...,...,...,...,2019-01-01 16:00:00
17,18,993.5,...,13.8,...,99,3.3,62,...,...,0.0,...,...,...,...,...,...,2019-01-01 17:00:00
18,19,993.2,...,13.8,...,99,2.6,55,...,...,1.0,...,...,...,...,...,...,2019-01-01 18:00:00
19,20,993.2,...,14.1,...,99,3.2,81,...,...,0.0,...,...,...,...,...,...,2019-01-01 19:00:00
20,21,993.4,...,14.1,...,99,2.3,66,...,...,0.5,...,...,...,...,...,...,2019-01-01 20:00:00
21,22,993.4,...,14.1,...,99,3.0,63,...,...,0.5,...,...,...,...,...,...,2019-01-01 21:00:00
22,23,993.3,...,14.0,...,99,2.7,61,...,...,0.5,...,...,...,...,...,...,2019-01-01 22:00:00
23,24,993.4,...,13.9,...,99,2.6,68,...,...,0.5,...,...,...,...,...,...,2019-01-01 23:00:00
0,1,993.1,...,14.0,...,99,2.5,60,...,...,0.0,...,...,...,...,...,...,2019-01-02 00:00:00
1,2,993.0,...,13.9,...,99,2.4,62,...,...,0.5,...,...,...,...,...,...,2019-01-02 01:00:00
2,3,992.7,...,13.8,...,99,3.1,68,...,...,0.0,...,...,...,...,...,...,2019-01-02 02:00:00
3,4,992.2,...,13.9,...,99,2.5,70,...,...,0.0,...,...,...,...,...,...,2019-01-02 03:00:00
4,5,992.6,...,13.9,...,99,0.1,0,...,...,0.0,...,...,...,...,...,...,2019-01-02 04:00:00
5,6,992.7,...,14.0,...,99,1.9,62,...,...,1.0,...,...,...,...,...,...,2019-01-02 05:00:00
6,7,993.8,...,14.1,...,99,0.9,32,...,...,0.0,...,...,...,...,...,...,2019-01-02 06:00:00
7,8,994.1,...,14.5,...,99,2.4,64,...,...,1.0,...,...,...,...,...,...,2019-01-02 07:00:00
8,9,994.3,...,14.7,...,99,2.7,53,...,...,0.5,...,...,...,...,...,...,2019-01-02 08:00:00
9,10,994.1,...,14.8,...,99,3.4,60,...,...,0.5,...,...,...,...,...,...,2019-01-02 09:00:00
10,11,992.8,...,14.9,...,99,3.1,55,...,...,0.0,...,...,...,...,...,...,2019-01-02 10:00:00
11,12,991.6,...,15.1,...,99,3.9,68,...,...,0.0,...,...,...,...,...,...,2019-01-02 11:00:00
12,13,990.8,...,15.2,...,99,2.8,66,...,...,0.0,...,...,...,...,...,...,2019-01-02 12:00:00
13,14,989.9,...,15.5,...,99,3.0,64,...,...,0.0,...,...,...,...,...,...,2019-01-02 13:00:00
14,15,990.1,...,15.4,...,99,2.9,67,...,...,0.5,...,...,...,...,...,...,2019-01-02 14:00:00
15,16,990.4,...,15.3,...,99,2.5,57,...,...,0.5,...,...,...,...,...,...,2019-01-02 15:00:00
16,17,990.9,...,15.3,...,99,2.1,54,...,...,0.5,...,...,...,...,...,...,2019-01-02 16:00:00
17,18,991.1,...,15.4,...,99,2.4,60,...,...,0.5,...,...,...,...,...,...,2019-01-02 17:00:00
18,19,991.6,...,15.5,...,99,2.3,62,...,...,0.5,...,...,...,...,...,...,2019-01-02 18:00:00
19,20,991.8,...,15.5,...,99,1.3,71,...,...,1.0,...,...,...,...,...,...,2019-01-02 19:00:00
20,21,991.7,...,15.6,...,99,0.4,39,...,...,0.5,...,...,...,...,...,...,2019-01-02 20:00:00
21,22,991.4,...,15.8,...,99,2.3,57,...,...,1.0,...,...,...,...,...,...,2019-01-02 21:00:00
22,23,991.4,...,15.9,...,99,1.7,46,...,...,1.0,...,...,...,...,...,...,2019-01-02 22:00:00
23,24,991.5,...,15.9,...,99,0.6,21,...,...,1.0,...,...,...,...,...,...,2019-01-02 23:00:00
0,1,991.4,...,16.0,...,99,0.6,47,...,...,0.5,...,...,...,...,...,...,2019-01-03 00:00:00
1,2,991.1,...,15.9,...,99,0.0,0,...,...,1.0,...,...,...,...,...,...,2019-01-03 01:00:00
2,3,991.0,...,15.8,...,99,1.3,70,...,...,0.5,...,...,...,...,...,...,2019-01-03 02:00:00
