,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount,
0,1,995.9,...,14.2,...,99,4.1,94,...,...,0.0,...,...,...,...,...,...,2019-01-01 00:00:00
1,2,995.5,...,14.2,...,99,3.5,86,...,...,0.0,...,...,...,...,...,...,2019-01-01 01:00:00
2,3,995.0,...,14.3,...,99,4.4,91,...,...,0.0,...,...,...,...,...,...,2019-01-01 02:00:00
3,4,994.8,...,14.3,...,99,4.0,89,...,...,0.0,...,...,...,...,...,...,2019-01-01 03:00:00
4,5,994.9,...,14.2,...,99,3.4,88,...,...,0.0,...,...,...,...,...,...,2019-01-01 04:00:00
5,6,995.3,...,14.4,...,99,3.9,84,...,...,0.0,...,...,...,...,...,...,2019-01-01 05:00:00
6,7,996.0,...,14.3,...,99,4.7,86,...,...,0.0,...,...,...,...,...,...,2019-01-01 06:00:00
7,8,996.6,...,14.6,...,99,4.7,93,...,...,0.0,...,...,...,...,...,...,2019-01-01 07:00:00
8,9,997.1,...,15.0,...,97,4.7,90,...,...,0.0,...,...,...,...,...,...,2019-01-01 08:00:00
9,10,997.0,...,15.4,...,93,5.5,85,...,...,0.0,...,...,...,...,...,...,2019-01-01 09:00:00
10,11,996.1,...,15.5,...,92,6.4,87,...,...,0.0,...,...,...,...,...,...,2019-01-01 10:00:00
11,12,995.1,...,15.5,...,90,5.8,90,...,...,0.0,...,...,...,...,...,...,2019-01-01 11:00:00
12,13,994.1,...,15.9,...,89,6.5,88,...,...,0.0,...,...,...,...,...,...,2019-01-01 12:00:00
13,14,993.7,...,15.4,...,93,5.8,98,...,...,0.0,...,...,...,...,...,...,2019-01-01 13:00:00
14,15,993.8,...,15.3,...,95,4.8,95,...,...,0.0,...,...,...,...,...,...,2019-01-01 14:00:00
15,16,994.4,...,15.4,...,92,4.4,90,...,...,0.0,...,...,...,...,...,...,2019-01-01 15:00:00
16,17,994.8,...,14.9,...,94,6.0,93,...,...,0.0,...,...,...,...,...,...,2019-01-01 16:00:00
17,18,994.8,...,14.1,...,99,4.9,97,...,...,0.0,...,...,...,...,...,...,2019-01-01 17:00:00
18,19,994.7,...,14.0,...,99,6.4,88,...,...,0.0,...,...,...,...,...,...,2019-01-01 18:00:00
19,20,995.0,...,14.2,...,99,6.1,93,...,...,0.0,...,...,...,...,...,...,2019-01-01 19:00:00
20,21,994.9,...,14.1,...,99,6.2,91,...,...,0.0,...,...,...,...,...,...,2019-01-01 20:00:00
21,22,995.1,...,14.1,...,99,5.6,94,...,...,0.0,...,...,...,...,...,...,2019-01-01 21:00:00
22,23,995.0,...,14.1,...,99,5.6,87,...,...,0.0,...,...,...,...,...,...,2019-01-01 22:00:00
23,24,995.0,...,14.1,...,99,6.1,85,...,...,0.0,...,...,...,...,...,...,2019-01-01 23:00:00
0,1,995.1,...,14.3,...,99,4.4,88,...,...,0.0,...,...,...,...,...,...,2019-01-02 00:00:00
1,2,994.8,...,14.3,...,99,5.5,94,...,...,0.0,...,...,...,...,...,...,2019-01-02 01:00:00
2,3,994.7,...,14.0,...,99,4.3,96,...,...,0.0,...,...,...,...,...,...,2019-01-02 02:00:00
3,4,994.3,...,14.1,...,99,4.6,97,...,...,0.0,...,...,...,...,...,...,2019-01-02 03:00:00
4,5,994.1,...,14.0,...,99,4.8,100,...,...,0.0,...,...,...,...,...,...,2019-01-02 04:00:00
5,6,994.1,...,14.1,...,99,6.1,96,...,...,0.0,...,...,...,...,...,...,2019-01-02 05:00:00
6,7,995.3,...,14.4,...,99,4.4,88,...,...,0.5,...,...,...,...,...,...,2019-01-02 06:00:00
7,8,995.7,...,14.5,...,99,4.6,96,...,...,0.5,...,...,...,...,...,...,2019-01-02 07:00:00
8,9,996.3,...,14.6,...,99,4.7,95,...,...,0.0,...,...,...,...,...,...,2019-01-02 08:00:00
9,10,995.7,...,14.8,...,99,6.0,93,...,...,0.0,...,...,...,...,...,...,2019-01-02 09:00:00
10,11,994.7,...,15.1,...,99,5.9,95,...,...,0.0,...,...,...,...,...,...,2019-01-02 10:00:00
11,12,993.2,...,15.6,...,98,6.1,92,...,...,0.0,...,...,...,...,...,...,2019-01-02 11:00:00
12,13,992.3,...,15.7,...,97,7.2,95,...,...,0.0,...,...,...,...,...,...,2019-01-02 12:00:00
13,14,991.7,...,15.8,...,97,6.9,96,...,...,0.0,...,...,...,...,...,...,2019-01-02 13:00:00
14,15,991.8,...,15.6,...,99,5.9,97,...,...,0.0,...,...,...,...,...,...,2019-01-02 14:00:00
15,16,992.3,...,15.5,...,99,4.5,96,...,...,0.0,...,...,...,...,...,...,2019-01-02 15:00:00
16,17,992.8,...,15.5,...,99,5.0,103,...,...,0.0,...,...,...,...,...,...,2019-01-02 16:00:00
17,18,993.2,...,15.5,...,99,5.5,93,...,...,0.5,...,...,...,...,...,...,2019-01-02 17:00:00
18,19,993.8,...,15.6,...,99,4.5,92,...,...,0.0,...,...,...,...,...,...,2019-01-02 18:00:00
19,20,993.8,...,15.8,...,99,5.8,95,...,...,0.5,...,...,...,...,...,...,2019-01-02 19:00:00
20,21,993.8,...,16.1,...,99,5.2,94,...,...,0.0,...,...,...,...,...,...,2019-01-02 20:00:00
21,22,993.9,...,16.0,...,99,3.8,91,...,...,0.5,...,...,...,...,...,...,2019-01-02 21:00:00
22,23,993.9,...,15.9,...,99,3.5,93,...,...,0.0,...,...,...,...,...,...,2019-01-02 22:00:00
23,24,994.2,...,15.8,...,99,2.3,80,...,...,0.5,...,...,...,...,...,...,2019-01-02 23:00:00
0,1,994.4,...,15.7,...,99,1.4,65,...,...,0.5,...,...,...,...,...,...,2019-01-03 00:00:00
1,2,994.0,...,15.8,...,99,1.0,45,...,...,0.5,...,...,...,...,...,...,2019-01-03 01:00:00
2,3,993.6,...,15.4,...,99,0.8,53,...,...,0.5,...,...,...,...,...,...,2019-01-03 02:00:00
